fid,crs28992re,aantal_inw,aantal_man,aantal_vro,aantal_i_1,aantal_i_2,aantal_i_3,aantal_i_4,aantal_i_5,percentage,percenta_1,percenta_2,aantal_par,aantal_een,aantal_mee,aantal_e_1,aantal_twe,gemiddelde,aantal_won,aantal_w_1,aantal_w_2,aantal_w_3,aantal_w_4,aantal_w_5,aantal_w_6,aantal_w_7,aantal_w_8,aantal_m_1,percenta_3,percenta_4,aantal_huu,aantal_nie,gemiddel_1,aantal_per,W-Sidewalks_median,I-Zscore_median,Landscape_median,Traffic Safety_median,Proximity_median,Crime Safe_median,Infrastructure_median
123960,E1195N4827,"160","60","100","10","-99997","5","20","125","70","20","10","120","90","25","-99997","5",1.400000000000000,"120","-99997","-99997","10","-99997","-99997","-99997","110","-99997","110","10","90","110","-99997","521","-99997",3.848500,0.443797,0.314695,0.812660,0.491044,0.238733,0.463490
123961,E1196N4827,"60","35","25","10","10","30","10","-99997","10","70","20","40","25","-99997","-99997","5",1.600000000000000,"20","-99997","20","-99997","-99997","-99997","-99997","-99997","-99997","20","-99997","-99997","-99997","-99997","464","5",3.933000,0.469437,0.311009,0.812660,0.527672,0.230515,0.499535
123962,E1197N4827,"145","65","80","20","20","60","25","25","40","30","30","85","50","20","5","10",1.700000000000000,"80","-99997","80","-99997","-99997","-99997","-99997","-99997","-99997","80","40","60","15","5","364","15",3.971000,0.456498,0.286773,0.812660,0.554707,0.229690,0.475699
123963,E1198N4827,"160","80","75","25","25","55","25","25","40","30","30","90","50","20","5","10",1.800000000000000,"85","-99997","85","-99997","-99997","-99997","-99997","-99997","-99997","85","20","80","30","-99997","351","15",4.124000,0.443683,0.261445,0.812660,0.600055,0.236535,0.442887
123964,E1199N4827,"155","65","85","10","30","55","25","30","40","30","30","105","70","25","-99997","10",1.500000000000000,"85","-99997","85","-99997","-99997","-99997","-99997","-99997","-99997","85","20","80","30","-99997","350","10",4.352500,0.443375,0.242155,0.812660,0.615462,0.250675,0.420588
123965,E1200N4827,"135","60","75","15","15","45","35","30","50","20","30","80","40","20","10","10",1.700000000000000,"80","-99997","80","-99997","-99997","-99997","-99997","-99997","-99997","80","20","80","25","-99997","335","20",4.180000,0.473821,0.274837,0.812660,0.663718,0.255882,0.466726
123502,E1200N4829,"95","40","55","10","15","45","20","10","40","30","30","65","40","15","-99997","-99997",1.500000000000000,"60","-99997","60","-99997","-99997","-99997","-99997","-99997","-99997","60","40","60","-99997","5","361","-99997",3.227000,0.453822,0.286708,0.812660,0.557614,0.226467,0.480166
123501,E1199N4829,"95","50","45","10","10","40","15","15","40","30","30","55","30","15","-99997","5",1.700000000000000,"55","-99997","40","15","-99997","-99997","-99997","-99997","-99997","55","60","40","10","-99997","347","5",3.637000,0.420752,0.242957,0.812660,0.416334,0.232312,0.434947
123500,E1198N4829,"85","45","40","5","-99997","50","15","15","30","40","30","60","40","15","-99997","-99997",1.400000000000000,"55","-99997","-99997","55","-99997","-99997","-99997","-99997","-99997","55","50","50","20","-99997","338","10",3.638000,0.446870,0.188243,0.812660,0.520986,0.236146,0.448460
123499,E1197N4829,"55","25","30","-99997","5","20","10","15","50","30","20","40","25","5","-99997","-99997",1.500000000000000,"40","-99997","-99997","40","-99997","-99997","-99997","-99997","-99997","40","20","80","15","-99997","326","10",3.933000,0.486043,0.279784,0.812660,0.647674,0.248769,0.506256
123261,E1200N4830,"95","40","55","15","15","40","15","10","20","50","30","55","30","10","5","10",1.800000000000000,"50","-99997","50","-99997","-99997","-99997","-99997","-99997","-99997","50","50","50","-99997","5","365","5",3.669000,0.473194,0.263922,0.812660,0.611683,0.238245,0.519666
123260,E1199N4830,"120","60","60","20","15","55","15","15","30","40","30","60","20","20","5","10",2.000000000000000,"55","-99997","30","25","-99997","-99997","-99997","-99997","-99997","55","50","50","5","-99997","364","-99997",3.025000,0.486932,0.269462,0.812660,0.660811,0.234933,0.519666
123259,E1198N4830,"105","45","60","15","10","40","30","15","30","40","30","55","25","15","-99997","10",1.800000000000000,"55","-99997","5","45","-99997","-99997","-99997","-99997","-99997","55","40","60","20","-99997","361","15",3.632500,0.506116,0.289236,0.812660,0.722328,0.234564,0.572774
123258,E1197N4830,"60","25","35","-99997","-99997","25","10","15","30","30","30","40","25","10","-99997","-99997",1.500000000000000,"30","-99997","-99997","30","-99997","-99997","-99997","-99997","-99997","30","40","60","15","-99997","357","10",3.697000,0.504863,0.288326,0.812660,0.718660,0.238311,0.566292
123257,E1195N4830,"5","5","-99997","-99997","-99997","5","-99997","-99997","-99997","-99997","-99997","5","5","-99997","-99997","-99997",1.000000000000000,"-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997",3.390000,0.521294,0.302536,0.812660,0.722328,0.260580,0.590826
123035,E1200N4831,"135","75","60","5","-99997","120","5","-99997","50","30","20","75","25","50","-99997","-99997",1.800000000000000,"75","-99997","-99997","75","-99997","-99997","-99997","-99997","-99997","75","-99997","100","-99997","10","378","-99997",3.649000,0.510233,0.286708,0.812660,0.746456,0.279722,0.597733
123034,E1199N4831,"200","95","110","5","10","140","20","25","60","20","20","120","55","55","-99997","10",1.700000000000000,"120","-99997","-99997","120","-99997","-99997","-99997","-99997","-99997","120","-99997","100","45","-99997","359","15",3.837000,0.544820,0.314406,0.812660,0.794712,0.313322,0.590049
123033,E1198N4831,"260","110","155","15","80","110","15","45","40","40","20","195","140","35","5","10",1.300000000000000,"115","-99997","-99997","90","-99997","-99997","-99997","-99997","30","115","-99997","100","90","-99997","401","10",3.844500,0.543035,0.306492,0.812660,0.794712,0.288469,0.596834
123032,E1197N4831,"30","15","15","-99997","-99997","25","5","-99997","30","20","50","20","10","5","-99997","-99997",1.600000000000000,"-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997","-99997",4.150000,0.528368,0.298364,0.812660,0.794712,0.267875,0.597014
122812,E1200N4832,"145","90","55","10","5","90","25","10","20","20","70","100","70","15","-99997","10",1.500000000000000,"45","-99997","-99997","-99997","-99997","-99997","-99997","45","-99997","45","60","30","-99997","10","992","-99997",4.149500,0.560858,0.344169,0.812660,0.794712,0.359962,0.629765
122811,E1199N4832,"320","185","135","40","15","155","85","20","30","40","30","180","90","55","5","30",1.800000000000000,"195","-99997","-99997","-99997","-99997","-99997","-99997","185","10","195","30","70","105","20","669","10",5.439000,0.584319,0.361889,0.812660,0.913317,0.399850,0.640446
122810,E1198N4832,"620","305","315","105","45","350","95","25","40","30","30","335","145","100","40","50",1.800000000000000,"360","-99997","-99997","-99997","-99997","-99997","-99997","-99997","360","360","20","80","50","35","614","30",4.968000,0.575541,0.345517,0.812660,0.913317,0.383527,0.628305
122809,E1197N4832,"380","205","175","35","20","265","40","20","40","40","20","225","105","90","10","25",1.700000000000000,"260","-99997","-99997","-99997","-99997","-99997","-99997","-99997","260","260","10","90","-99997","40","612","10",4.229000,0.551889,0.308471,0.812660,0.849273,0.330460,0.599223
122597,E1199N4833,"60","35","25","10","-99997","45","5","-99997","10","50","30","35","25","5","-99997","5",1.600000000000000,"30","-99997","-99997","-99997","-99997","-99997","-99997","30","-99997","30","-99997","-99997","-99997","5","656","-99997",5.000000,0.591110,0.397754,0.812660,0.913317,0.420794,0.640446
122596,E1198N4833,"245","135","105","35","15","130","50","15","30","30","40","130","55","40","5","25",1.900000000000000,"240","-99997","-99997","-99997","-99997","-99997","-99997","205","35","240","10","90","-99997","125","908","10",5.228500,0.585521,0.360701,0.812660,0.913317,0.407028,0.621171
