ID,OBS
"1",0
"2",9
"3",5
"4",1
"5",1
"6",0
"7",4
"8",0
"9",2
"10",0
"11",1
"12",0
"13",3
"14",1
"15",4
"16",0
"17",0
"18",1
"19",0
"20",6
"21",1
"22",4
"23",3
"24",1
"25",1
"26",0
"27",0
"28",0
"29",2
"30",4
"31",0
"32",3
"33",4
"34",0
"35",2
"36",9
"37",8
"38",4
"40",3
"41",4
"42",0
"43",0
"44",0
"45",0
"46",3
"47",2
"48",0
"49",0
"50",0
"51",0
"52",2
"53",0
"54",8
"55",10
"56",15
"57",8
"58",7
"59",6
"60",6
"61",3
"62",6
"63",5
"64",6
"65",7
"66",7
"67",6
"68",5
"69",3
"70",5
"71",0
"72",0
"73",3
"74",0
"75",0
"76",0
"77",0
"78",4
"79",10
"80",6
"81",6
"82",6
"83",1
"84",0
"85",7
"86",5
"87",4
"88",5
"89",1
"90",1
"91",2
"92",1
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",9
"134",8
"135",9
"136",0
"137",3
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",2
"151",0
"152",0
"153",0
"154",0
"155",2
"156",2
"157",1
"158",2
"159",2
"160",0
"161",0
"162",2
"163",0
"164",1
"165",1
"166",0
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",0
"195",0
"196",0
"197",0
"198",0
"199",0
"200",1
"201",0
"202",0
"203",0
"204",1
"205",6
"206",5
"207",4
"208",1
"209",1
"210",2
"211",3
"212",3
"213",5
"214",14
"215",13
"216",0
"217",0
"218",0
"219",0
"220",0
"221",0
"222",0
"223",0
"224",0
"226",0
"227",0
"228",5
"229",0
"230",3
"231",1
"232",3
"233",2
"234",5
"235",6
"236",7
"237",5
"238",6
"239",4
"240",3
"241",0
"242",0
"244",7
"245",0
"246",0
"247",0
"248",2
"249",0
"250",14
"251",13
"252",0
"254",9
"255",8
"256",11
"257",3
"258",4
"259",5
"260",4
"261",7
"262",7
"263",0
"264",2
"265",2
"266",3
"267",4
"268",3
"269",0
"270",3
"271",2
"272",1
"273",1
"274",1
"275",1
"276",0
"277",0
"278",0
"279",3
"280",5
"281",1
"282",1
"283",0
"284",0
"285",0
"286",0
"287",0
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",0
"295",0
"296",0
"297",0
"298",0
"299",0
"300",0
"301",0
"302",0
"303",3
"304",1
"305",3
"306",2
"307",1
"308",0
"309",0
"310",0
"311",0
"312",0
"313",0
"314",0
"315",0
"316",1
"317",3
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",1
"325",0
"326",1
"327",2
"328",2
"329",3
"330",0
"331",0
"332",0
"333",0
"334",0
"335",0
"336",1
"337",2
"338",2
"339",2
"340",0
"341",4
"342",9
"343",0
"344",1
"345",1
"346",1
"347",3
"348",1
"349",1
"350",0
"351",0
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0
"359",0
"360",0
"361",1
"362",0
"363",0
"364",0
"365",0
"366",0
"367",0
"368",0
"369",0
"370",0
"371",0
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",1
"383",0
"384",0
"385",0
"386",1
"387",0
"388",1
"389",0
"390",0
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0
"397",0
"398",0
"399",0
"400",8
"401",6
"402",0
"403",3
"404",1
"405",0
"406",0
"407",0
"408",7
"409",4
"410",4
"411",3
"412",4
"413",5
"414",0
"415",0
"416",2
"417",4
"418",0
"419",1
"420",2
"421",3
"422",4
"423",1
"424",5
"425",4
"426",3
"427",2
"428",1
"429",0
"430",1
"431",1
"432",1
"433",1
"434",0
"435",0
"436",0
"437",0
"438",0
"439",0
"440",0
"441",0
"442",0
"443",0
"444",0
"445",0
"446",0
"447",0
"448",0
"449",0
"450",0
"451",0
"452",0
"453",0
"454",0
"455",0
"456",0
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0
"463",0
"464",0
"465",0
"466",0
"467",0
"468",0
"469",0
"470",0
"471",0
"472",0
"473",0
"474",0
"475",0
"476",0
"477",0
"478",0
"479",0
"480",0
"481",0
"482",0
"483",0
"484",0
"485",0
"486",0
"487",0
"488",0
"489",0
"490",0
"491",0
"492",0
"493",0
"494",0
"495",0
"496",0
"497",0
"498",0
"499",0
"500",0
"501",0
"502",0
"503",0
"504",0
"505",0
"506",0
"507",0
"508",0
"509",0
"510",0
"511",0
"512",0
"513",0
"514",0
"515",0
"516",0
"517",0
"518",0
"519",0
"520",0
"521",0
"522",0
"523",0
"524",0
"525",0
"526",0
"527",2
"528",2
"529",0
"530",0
"531",0
"532",0
"533",0
"534",0
"535",0
"536",0
"537",0
"538",0
"539",0
"540",0
"541",0
"542",0
"543",0
"544",0
"545",0
"546",0
"547",0
"548",0
"549",0
"550",0
"551",0
"552",0
"553",0
"554",0
"555",0
"556",0
"557",0
"558",0
"559",0
"560",0
"561",0
"562",0
"563",0
"564",0
"565",0
"566",0
"567",0
"568",0
"569",0
"570",0
"571",0
"572",0
"573",0
"574",0
"575",0
"576",0
"577",0
"578",0
"579",0
"580",0
"581",0
"582",0
"583",0
"584",0
"585",0
"586",0
"587",0
"588",0
"589",0
"590",0
"591",0
"592",0
"593",0
"594",0
"595",0
"596",0
"597",0
"598",0
"599",0
"600",0
"601",0
"602",0
"603",3
"604",2
"605",0
"606",0
"607",0
"608",0
"609",0
"610",3
"611",5
"612",8
"613",3
"614",3
"615",3
"616",4
"617",3
"618",8
"619",14
"620",3
"621",2
"622",1
"623",2
"624",2
"625",2
"626",1
"627",2
"628",2
"629",6
"630",1
"631",1
"632",1
"633",3
"634",1
"635",0
"636",0
"637",0
"638",0
"639",0
"640",0
"641",0
"642",0
"643",0
"644",0
"645",0
"646",0
"647",0
"648",0
"649",0
"650",0
"651",0
"652",0
"653",0
"654",0
"655",0
"656",0
"657",0
"658",0
"659",0
"660",0
"661",0
"662",0
"663",0
"664",0
"665",0
"666",0
"667",0
"668",0
"669",2
"670",2
"671",3
"672",2
"673",3
"674",1
"675",1
"676",2
"677",11
"678",1
"679",5
"680",8
"681",8
"682",3
"683",6
"684",5
"685",5
"686",7
"687",0
"688",3
"689",4
"690",1
"691",2
"692",7
"693",3
"694",5
"695",4
"696",0
"697",0
"698",1
"699",6
"700",4
"701",4
"702",3
"703",2
"704",0
"705",0
"706",0
"707",0
"708",0
"709",0
"710",0
"711",2
"712",0
"713",1
"714",5
"715",3
"716",0
"717",1
"718",0
"719",0
"720",0
"721",2
"722",2
"723",4
"724",6
"725",4
"726",0
"727",4
"728",4
"729",5
"730",5
"731",4
"732",4
"733",3
"734",2
"735",2
"736",3
"738",0
"739",0
"740",0
"741",2
"742",3
"743",4
"744",5
"745",4
"746",3
"747",4
"748",3
"749",1
"750",0
"751",3
"752",4
"753",0
"754",4
"755",6
"756",0
"757",0
"758",7
"759",9
"760",7
"761",8
"762",8
"763",7
"764",8
"765",7
"766",1
"767",0
"768",0
"769",1
"770",0
"771",0
"772",0
"773",0
"774",4
"775",3
"776",0
"777",1
"778",4
"779",1
"780",1
"781",0
"782",5
"783",2
"784",4
"785",3
"786",3
"787",6
"788",6
"789",0
"790",0
"791",0
"792",0
"793",0
"794",0
"795",1
"796",0
"797",0
"798",1
"799",0
"800",0
"801",2
"802",2
"803",2
"804",2
"805",0
"806",0
"807",0
"808",0
"809",0
"810",1
"811",0
"812",0
"813",1
"814",0
"815",0
"816",0
"817",0
"818",0
"819",0
"820",8
"821",1
"822",0
"823",0
"824",0
"825",0
"826",0
"827",0
"828",0
"829",0
"830",0
"831",0
"832",2
"833",1
"834",0
